Date,Open,High,Low,Close,Adj Close,Volume
2021-05-31,0.820340,0.820740,0.817400,0.820340,0.820340,0
2021-06-01,0.817390,0.818690,0.816050,0.817470,0.817470,0
2021-06-02,0.818460,0.821980,0.817700,0.818480,0.818480,0
2021-06-03,0.818900,0.825021,0.818600,0.819010,0.819010,0
2021-06-04,0.824382,0.826070,0.820500,0.824198,0.824198,0
2021-06-07,0.821980,0.823380,0.819538,0.821800,0.821800,0
2021-06-08,0.820370,0.821920,0.819900,0.820100,0.820100,0
2021-06-09,0.821570,0.821570,0.818398,0.821500,0.821500,0
2021-06-10,0.821200,0.823360,0.820200,0.820883,0.820883,0
2021-06-11,0.821480,0.826788,0.820008,0.821520,0.821520,0
2021-06-14,0.825710,0.826770,0.824300,0.825750,0.825750,0
2021-06-15,0.824800,0.826250,0.823100,0.824930,0.824930,0
2021-06-16,0.824710,0.825740,0.824063,0.824600,0.824600,0
2021-06-17,0.833900,0.839840,0.832800,0.833640,0.833640,0
2021-06-18,0.839400,0.843800,0.838400,0.839390,0.839390,0
